evento_id,videos,c_w,v_w,b_w,d_w,c_s,v_s,b_s,d_s,rd_b
GME_2025-03-25,4,1.0,2.0,-0.40546510810816444,0.6666666666666667,1.0,2.0,-0.40546510810816444,0.6666666666666667,1.9506147377796226
WMT_2025-03-28,2,1.0,0.0,0.6931471805599453,0.0,1.0,0.0,0.6931471805599453,0.0,0.35545468753350296
AAPL_2025-04-03,11,3.0,3.0,0.0,1.0,2.0,3.0,-0.2876820724517809,0.8,0.34070654076000123
MSFT_2025-04-03,1,0.0,0.0,0.0,,0.0,0.0,0.0,,0.9909816244757442
NVDA_2025-04-15,3,0.0,2.0,-1.0986122886681098,0.0,0.0,2.0,-1.0986122886681098,0.0,0.4212134650763035
TSLA_2025-04-22,4,0.0,2.0,-1.0986122886681098,0.0,0.0,2.0,-1.0986122886681098,0.0,0.0019295712692146056
GOOG_2025-04-24,1,0.0,0.0,0.0,,0.0,0.0,0.0,,1.2309439211007283
AMZN_2025-04-29,2,0.0,0.0,0.0,,0.0,0.0,0.0,,0.5058751186061344
GOOG_2025-05-07,2,1.0,0.0,0.6931471805599453,0.0,1.0,0.0,0.6931471805599453,0.0,1.6547245020723502
UNH_2025-05-13,2,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.6372500031124555
TSLA_2025-06-05,7,1.0,2.0,-0.40546510810816444,0.6666666666666667,1.0,2.0,-0.40546510810816444,0.6666666666666667,0.056670965621669005
INTC_2025-06-10,2,0.0,0.0,0.0,,0.0,0.0,0.0,,0.1851424331355959
GOOG_2025-06-23,2,1.0,0.0,0.6931471805599453,0.0,1.0,0.0,0.6931471805599453,0.0,1.4030247893791001
HOOD_2025-06-30,4,4.0,0.0,1.6094379124341003,0.0,4.0,0.0,1.6094379124341003,0.0,1.2671735326218472
NVDA_2025-07-15,3,1.0,0.0,0.6931471805599453,0.0,1.0,0.0,0.6931471805599453,0.0,1.1109235801475599
GOOGL_2025-07-23,3,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0968185662140828
UNH_2025-07-24,4,0.0,2.0,-1.0986122886681098,0.0,0.0,2.0,-1.0986122886681098,0.0,0.5214048252702587
MSFT_2025-07-30,3,2.0,0.0,1.0986122886681098,0.0,3.0,0.0,1.3862943611198906,0.0,0.9555114450274363
AAPL_2025-07-31,5,3.0,0.0,1.3862943611198906,0.0,3.0,0.0,1.3862943611198906,0.0,0.49561620510246196
AMZN_2025-07-31,1,1.0,0.0,0.6931471805599453,0.0,1.0,0.0,0.6931471805599453,0.0,0.6255415342150618
