ticker,date,close_prev,close,ret,s,fuente,factor_implicito
EURN,2024-05-22,21.08,16.08,-0.020399,0.7786929057300983,crsp,1.284
EVFM,2022-05-06,0.1104,1.4,-0.154589,14.999993400002904,crsp,0.067
EXPR,2023-08-31,0.5,10.09,0.009,20.0,crsp,0.05
EYES,2020-01-06,0.675,5.21,-0.035185,7.999998464491657,crsp,0.125
EYES,2022-08-19,1.84,4.35,-0.211957,3.0000018206907595,crsp,0.333
FAMI,2022-05-31,0.062,1.27,-0.180645,24.999995078741126,crsp,0.04
FAMI,2023-09-25,0.2263,1.55,-0.143836,8.000003584001606,crsp,0.125
FAMI,2025-03-17,0.1569,1.95,0.035691,12.000006062772293,crsp_v2,0.083
FAST,2025-05-22,81.46,40.715,-0.000368,0.49999986049371453,crsp_v2,2.0
FCEL,2024-11-11,0.2501,6.68,-0.10969,30.00001827845425,crsp,0.033
FEMY,2026-01-02,0.5762,12.739999771118164,0.1059027139649373,19.993058760436778,yahoo,0.05
FET,2020-11-10,0.4601,8.75,-0.04912,20.000005120001312,crsp,0.05
FFIE,2023-08-28,0.1555,9.48,-0.237943,80.0000921520049,crsp,0.012
FFIE,2024-03-01,0.0698,0.198,-0.054441,2.9999991727275006,crsp,0.333
FFIE,2024-08-19,0.1284,3.99,-0.223132,40.00005966926195,crsp,0.025
FGF,2024-11-01,1.04,22.25,-0.14423,24.999977528110087,crsp,0.04
FGL,2026-01-02,0.162,16.299999237060547,0.0061727450254112,100.0000047095028,yahoo,0.01
FIZZ,2021-02-22,100.8,49.15,-0.024802,0.5000002115972412,crsp,2.0
FRGT,2023-03-24,0.17,1.69,-0.005882,9.999996449705401,crsp,0.1
FRGT,2024-02-05,0.227,1.9,-0.162995,9.99999289474189,crsp,0.1
FRGT,2024-09-25,0.0838,2.1,0.002387,24.999990892860463,crsp,0.04
FRGT,2025-05-27,0.6703,2.39,-0.108608,3.9999996143933427,crsp_v2,0.25
FRGT,2025-12-15,0.6001,2.43,-0.190135,5.000000138888893,crsp_v2,0.2
FRGT,2026-01-02,1.68,9.199999809265137,0.0952381222696814,4.999999772934687,yahoo,0.2
FUBO,2026-01-02,2.52,31.07999992370605,0.0277777830339192,11.999999909173875,yahoo,0.083
GCTK,2024-05-20,0.5,2.3629,-0.05484,4.999999999999999,crsp,0.2
GCTK,2025-02-04,0.057,0.81,-0.289474,20.00000888889284,crsp_v2,0.05
GCTK,2025-06-16,0.0949,6.305,0.107308,59.999888165156904,crsp_v2,0.017
GDC,2026-01-02,4.26,1155.0,0.0845070422535212,250.0,yahoo,0.004
GENE,2023-12-14,0.548,3.118,0.137956,5.000000898011707,crsp,0.2
GFAI,2023-02-10,0.426,18.9,0.109154,40.00003352383762,crsp,0.025
GMBL,2023-02-22,0.0592,4.08,-0.310811,100.00002745098791,crsp,0.01
GMBL,2023-12-22,0.0105,6.91,0.645236,400.0005094073057,crsp,0.002
GME,2022-07-22,153.47,35.78,-0.06744,0.2500000293460068,crsp,4.0
GNS,2024-08-16,0.137,1.37,0.0,10.0,crsp,0.1
GNUS,2023-02-13,0.4449,3.6,-0.190829,9.999995058335776,crsp,0.1
GOEV,2024-03-08,0.099,2.13,-0.064558,22.99998451550338,crsp,0.043
GOEV,2024-12-24,0.079,1.47,-0.06962,19.99999455782461,crsp,0.05
GOLD,2026-01-02,43.55,34.77000045776367,0.0211454107734447,0.781859913594961,yahoo,1.279
GOOG,2022-07-18,2255.34009,109.91,-0.025335,0.049999976143677786,crsp,20.0
GOOGL,2022-07-18,2235.55005,109.03,-0.02458,0.049999994731473554,crsp,20.0
GPUS,2024-11-25,0.1816,6.61,0.039962,35.00000809077343,crsp,0.029
GREE,2023-05-16,0.34,3.86,0.135294,10.000001036269536,crsp,0.1
GRPN,2020-06-11,1.39,20.58,-0.259712,19.999993780371224,crsp,0.05
GSAT,2025-02-11,1.56,24.33,0.039744,14.999994081383345,crsp_v2,0.067
GTE,2023-05-05,0.6044,6.23,0.030775,9.99999341894494,crsp,0.1
GWAV,2024-06-03,0.0387,4.27,-0.264421,149.99873203647942,crsp,0.007
GWAV,2025-08-25,0.078,9.36,0.090908,110.00011000011,crsp_v2,0.009
HCTI,2023-05-26,0.2612,3.26,0.248086,9.99999806135007,crsp,0.1
HCTI,2025-08-01,0.0312,4.75,-0.388575,248.99797970902358,crsp_v2,0.004
HCTI,2026-01-02,0.6325,36.59999847412109,-0.0363349416731979,60.0474301063025,yahoo,0.017
HEXO,2020-12-23,1.02,4.23,0.036765,3.999998865248549,crsp,0.25
HEXO,2022-12-19,0.119,1.3,-0.219688,14.00000224000036,crsp,0.071
HOFV,2022-12-27,0.4245,8.5,-0.089839,22.000016619071378,crsp,0.045
HOLO,2024-02-02,0.1925,1.83,-0.04935,9.999993169403572,crsp,0.1
HOLO,2024-10-09,0.2589,6.57,0.26883,19.99999470319775,crsp,0.05
HOLO,2025-04-21,0.384,12.2,-0.205729,39.99999160655914,crsp_v2,0.025
