particion,poblacion,covariable,nombre,HR,lo,hi,p,se,cociente_vs_ref,coc_lo,coc_hi,p_cociente
S7 (etiqueta earnings),earnings,sin_direccion_lag,Sin direccion (t-1),1.2812969799540221,0.7040732218405843,2.331748886213166,0.4171364606859459,0.30548813915595857,0.5582284114202457,0.2958548597946176,1.0532832197960074,0.07190142509147468
S7 (etiqueta earnings),earnings,log1p_n_lag,log(1+mensajes) (t-1),1.394875479161644,1.2592121274681345,1.5451547518673838,1.8292800611637243e-10,0.052204489532597355,0.8640201740380685,0.7702762241495219,0.9691729249063017,0.012617720381467468
S7 (etiqueta earnings),earnings,log_z_inicio,log z del encendido,1.0626823174811262,0.8828007569102306,1.279216968321983,0.520529387248985,0.09462007908565179,0.8036645398207727,0.6526254257822766,0.9896591016066333,0.039602962489757365
S7 (etiqueta earnings),earnings,log_base_previa,log base previa,0.7921190585653587,0.7011606911552751,0.8948770386837303,0.0001806173141419623,0.062233089926664605,1.125697450423232,0.9817829920259694,1.2907075801694534,0.08977875648373779
S7 (etiqueta earnings),earnings,log_amplitud,log amplitud,0.937502536414294,0.7964247237922637,1.103570719902069,0.43799347327853433,0.08320910408936646,1.2873352117570485,1.078411379925242,1.5367344765449786,0.005181618427119616
S7 (etiqueta earnings),earnings,log_vol_ratio,log razon de volumen,1.3705117963038331,1.1276419346147963,1.6656906116652976,0.001539965336126575,0.09951997931119752,1.378673229768356,1.1236707524535245,1.6915452060398137,0.0020879445232677707
S7 (etiqueta earnings),earnings,ret_encendido_pico,Retorno encendido-pico,0.7839182697343753,0.5731066274366305,1.0722749034886814,0.1276785301546508,0.15981568228779022,0.8948117527372054,0.6505240819756946,1.230835406438567,0.4944605579231487
S7 (etiqueta earnings),earnings,desacoplado,Desacoplado,0.6502804661903945,0.5195886722882622,0.8138450802757224,0.00017034888904291553,0.1144746915325026,0.9920936120192656,0.772847953786014,1.2735360560739117,0.9503251816554483
S8 (etiqueta v2),nativa pura,b_duro_lag,B: optimismo (t-1),0.8721214831395379,0.7833443619965009,0.9709597952744373,0.012489950592257715,0.054774645383193224,,,,
S8 (etiqueta v2),nativa pura,d_duro_lag,D: desacuerdo (t-1),1.4009703488024279,0.9887640793235208,1.985021461910734,0.05790597871074584,0.17779134007238342,,,,
S8 (etiqueta v2),nativa pura,sin_direccion_lag,Sin direccion (t-1),2.5120189917339633,2.0030458247245075,3.1503220430316454,1.5449622080550498e-15,0.11552144646524477,,,,
S8 (etiqueta v2),nativa pura,log1p_n_lag,log(1+mensajes) (t-1),1.6592000219534455,1.56985083571673,1.753634581207476,7.139936414365339e-72,0.028242848548320383,,,,
S8 (etiqueta v2),nativa pura,log_z_inicio,log z del encendido,1.317646279389199,1.1791834316076573,1.472367802201169,1.1180546531830738e-06,0.05664636305941929,,,,
S8 (etiqueta v2),nativa pura,log_base_previa,log base previa,0.7000257379257041,0.6544249917278853,0.748803972880955,3.1544019930442213e-25,0.034368043755676723,,,,
S8 (etiqueta v2),nativa pura,log_amplitud,log amplitud,0.7319030207342376,0.6792319762631324,0.7886584414164569,2.598833070404214e-16,0.038105448490376476,,,,
S8 (etiqueta v2),nativa pura,log_vol_ratio,log razon de volumen,1.0696223911636147,0.99252675277508,1.1527065204839222,0.0778284099265506,0.03816753428659596,,,,
S8 (etiqueta v2),nativa pura,ret_encendido_pico,Retorno encendido-pico,0.7560081064055342,0.6916874069994507,0.8263100515741142,7.033862057043057e-10,0.04536714450451226,,,,
S8 (etiqueta v2),nativa pura,desacoplado,Desacoplado,0.650922968386895,0.5761395826371577,0.7354132983437901,5.367001697276831e-12,0.06226713640321347,,,,
S8 (etiqueta v2),institucional,b_duro_lag,B: optimismo (t-1),1.355849212364231,0.9041133096045536,2.0332928042755656,0.14090667247142863,0.20675306800113538,1.5546563621885892,1.022283202094603,2.364272835102097,0.03910892718453285
S8 (etiqueta v2),institucional,d_duro_lag,D: desacuerdo (t-1),3.647475230377273,1.093241288781861,12.169386294438022,0.03529328730663782,0.6147502081427144,2.6035349238441725,0.7427327475246882,9.12628953316882,0.13485136498354966
S8 (etiqueta v2),institucional,sin_direccion_lag,Sin direccion (t-1),1.8782867878707301,0.6952658076165639,5.074262560938996,0.21380725659653216,0.5070609132085163,0.747719979049287,0.26981136421206675,2.0721335022420906,0.576139875579698
S8 (etiqueta v2),institucional,log1p_n_lag,log(1+mensajes) (t-1),1.3351367829596994,1.1163809176628423,1.596758060809433,0.0015465006637958268,0.09129842046536898,0.8046870571926508,0.6672348246996839,0.9704548324569414,0.022977083199566595
S8 (etiqueta v2),institucional,log_z_inicio,log z del encendido,1.4701986968173666,1.1585580076594126,1.8656676608625247,0.001519915587225587,0.1215437765444541,1.1157764567125585,0.8578917506475283,1.4511820406413172,0.41395307182012875
S8 (etiqueta v2),institucional,log_base_previa,log base previa,0.7360777693137216,0.6022259238065295,0.8996797730878251,0.002768512283587892,0.10240142979029093,1.0515010083698435,0.8508746161768007,1.2994327831411732,0.6419861280450863
S8 (etiqueta v2),institucional,log_amplitud,log amplitud,0.6755314341994412,0.533272698710472,0.8557398863565573,0.0011490861035167994,0.12064852707409748,0.9229794317855868,0.7202667963567042,1.1827437219212795,0.5264280709514697
S8 (etiqueta v2),institucional,log_vol_ratio,log razon de volumen,0.9208305865232523,0.7622750245060652,1.1123661956866462,0.3922931959137881,0.09641435279686003,0.8608931470867064,0.7025592590350928,1.0549103170581569,0.1486021565001785
S8 (etiqueta v2),institucional,ret_encendido_pico,Retorno encendido-pico,1.014455409190235,0.9210690130919488,1.1173101717760117,0.7708395889451078,0.049272455691891856,1.341857845960802,1.1767774006967642,1.5300960722906876,1.1315659196542427e-05
S8 (etiqueta v2),institucional,desacoplado,Desacoplado,0.6173695891015939,0.44327143215241793,0.859846094066389,0.004326409630093796,0.16902634997262375,0.9484526112691145,0.66632361998695,1.350038222929603,0.7689063863077172
S8 (etiqueta v2),earnings,b_duro_lag,B: optimismo (t-1),0.8385368844792345,0.6546674216119377,1.0740478041519812,0.16321430563631362,0.12629375716751498,0.9614909169082698,0.7341187582036162,1.259285058400176,0.7754384650319419
S8 (etiqueta v2),earnings,d_duro_lag,D: desacuerdo (t-1),1.6494642966458941,0.811784249191262,3.35154626197793,0.16651015046968592,0.36172666905166906,1.1773727388705142,0.5343476168146376,2.5942037030106633,0.6853920230482338
S8 (etiqueta v2),earnings,sin_direccion_lag,Sin direccion (t-1),1.2812969799540221,0.7040732218405843,2.331748886213166,0.4171364606859459,0.30548813915595857,0.5100665974939884,0.2689171546383987,0.967464995786271,0.03927695218303251
S8 (etiqueta v2),earnings,log1p_n_lag,log(1+mensajes) (t-1),1.394875479161644,1.2592121274681345,1.5451547518673838,1.8292800611637243e-10,0.052204489532597355,0.8406915746778975,0.7483642779890158,0.9444094868258482,0.0034598384920241365
S8 (etiqueta v2),earnings,log_z_inicio,log z del encendido,1.0626823174811262,0.8828007569102306,1.279216968321983,0.520529387248985,0.09462007908565179,0.8065004501615846,0.6497286689691307,1.0010993929863694,0.05117177979369325
S8 (etiqueta v2),earnings,log_base_previa,log base previa,0.7921190585653587,0.7011606911552751,0.8948770386837303,0.0001806173141419623,0.062233089926664605,1.1315570494772704,0.9843769559913591,1.3007429201064569,0.08212130888671099
S8 (etiqueta v2),earnings,log_amplitud,log amplitud,0.937502536414294,0.7964247237922637,1.103570719902069,0.43799347327853433,0.08320910408936646,1.2809108718717968,1.0705725915246216,1.5325748806465986,0.00682779553511037
S8 (etiqueta v2),earnings,log_vol_ratio,log razon de volumen,1.3705117963038331,1.1276419346147963,1.6656906116652976,0.001539965336126575,0.09951997931119752,1.2813043253637282,1.039735360025137,1.5789986926635906,0.02004106595766353
S8 (etiqueta v2),earnings,ret_encendido_pico,Retorno encendido-pico,0.7839182697343753,0.5731066274366305,1.0722749034886814,0.1276785301546508,0.15981568228779022,1.0369178096006681,0.7487407784074595,1.4360090633155442,0.8272589001011621
S8 (etiqueta v2),earnings,desacoplado,Desacoplado,0.6502804661903945,0.5195886722882622,0.8138450802757224,0.00017034888904291553,0.1144746915325026,0.9990129366642373,0.7738305676966106,1.289722698074899,0.9939534814140083
