replica,C_M0,C_M1,C_M2,dC_M2_M0,dC_M2_M1
58,0.7022099279460785,0.7016170830000817,0.711136300063042,0.008926372116963455,0.009519217062960217
59,0.7016109578571514,0.7017094782598311,0.7124467094185505,0.010835751561399043,0.010737231158719385
60,0.7071173925446228,0.7073653176652622,0.7154960668023783,0.008378674257755514,0.008130749137116089
61,0.6967984759572572,0.6953998026492588,0.7053644905573858,0.008566014600128624,0.00996468790812699
62,0.702559879068729,0.7032715204349131,0.7098339045767734,0.007274025508044457,0.006562384141860278
63,0.6994859292640102,0.6999124782465997,0.7136394641803474,0.014153534916337196,0.01372698593374766
64,0.7051036253412786,0.7057813290100479,0.7150114200087154,0.009907794667436853,0.009230090998667562
65,0.7104274125964479,0.7114978432870327,0.7210470780143287,0.01061966541788073,0.009549234727295963
66,0.7044670111108489,0.7047848309147864,0.7168025416025825,0.012335530491733637,0.012017710687796113
67,0.7065596415904424,0.7072716819115177,0.7158788874369983,0.009319245846555968,0.008607205525480666
68,0.7095420155623166,0.7105762125713123,0.7205445315000792,0.011002515937762691,0.009968318928766928
69,0.699483106302398,0.699629094373344,0.7100290207497911,0.010545914447393168,0.010399926376447155
70,0.705342228320563,0.708410514212402,0.7166923429287455,0.011350114608182471,0.008281828716343531
71,0.7199090568328929,0.7195773310324097,0.7310086979223426,0.011099641089449719,0.011431366889932848
72,0.6949324883398184,0.6948796165029432,0.702601891796143,0.007669403456324608,0.0077222752931997984
73,0.6989552326339891,0.7018098209808055,0.7144460123734735,0.015490779739484428,0.012636191392668028
74,0.7028917580367927,0.7025019281585516,0.7109702325904975,0.008078474553704806,0.008468304431945906
75,0.7083760645983241,0.7074048678103215,0.7170893602584602,0.008713295660136011,0.009684492448138626
76,0.7033054922319496,0.7048937041435988,0.7124432482136358,0.009137755981686202,0.007549544070037051
77,0.6932684310767558,0.6943953397107481,0.7080301541068559,0.014761723030100038,0.013634814396107808
78,0.6937139411465074,0.691714131974843,0.7027301313455282,0.00901619019902078,0.011015999370685203
79,0.707863158746281,0.7091742844387717,0.7174766822767326,0.009613523530451529,0.008302397837960829
80,0.7021957833121427,0.7028792967931801,0.7103371150816755,0.0081413317695328,0.007457818288495455
81,0.709097128942586,0.7103810956995195,0.7208838839126448,0.011786754970058766,0.010502788213125336
82,0.6883406925310547,0.6887578150673033,0.698977466711678,0.010636774180623365,0.010219651644374772
83,0.7067891736070069,0.7054016035338219,0.7117140912461778,0.0049249176391709115,0.00631248771235593
84,0.7115513929273525,0.7125105581426638,0.7221126750035505,0.010561282076197998,0.009602116860886634
85,0.7011425825377813,0.7028535275651923,0.7085523940678473,0.007409811530066035,0.005698866502655053
86,0.6989300267881797,0.6990528507715498,0.7108266203501709,0.011896593561991131,0.011773769578621085
87,0.7109898698769628,0.7133759276869482,0.7199960860752251,0.009006216198262362,0.006620158388276898
88,0.7011227455389178,0.7005618212696743,0.7085448261015165,0.007422080562598632,0.007983004831842222
89,0.7056718625928566,0.7052703528684943,0.719259859842037,0.013587997249180361,0.013989506973542731
90,0.7132399247393957,0.7146613078340018,0.7247821179176543,0.011542193178258664,0.01012081008365251
91,0.7056101516746048,0.7056940207052043,0.7151843536801791,0.00957420200557424,0.009490332974974813
92,0.7042632240082517,0.7057745563113214,0.7141015251966405,0.009838301188388798,0.008326968885319141
93,0.7017440627205844,0.700556127468898,0.7094795735057782,0.007735510785193744,0.008923446036880223
94,0.7021083662636276,0.7009434817157987,0.709410502623009,0.007302136359381373,0.008467020907210299
95,0.6960303076071087,0.6966254558008069,0.7074891578742961,0.011458850267187404,0.01086370207348919
96,0.7013064970377105,0.7000475726710722,0.7102947080567866,0.008988211019076098,0.010247135385714423
97,0.7036917991181925,0.7050734729977091,0.7176903292396398,0.013998530121447361,0.012616856241930763
98,0.7046407105050686,0.7045701384527975,0.713864118895966,0.009223408390897414,0.009293980443168537
99,0.7013900999612025,0.7005857319046352,0.7062788270524921,0.004888727091289624,0.005693095147856875
100,0.6986731813330792,0.6969070169564325,0.70926718067536,0.01059399934228078,0.012360163718927453
