tabla,modelo,covariable,HR,lo95,hi95,p,logL,concordancia
"anterior (panel v1, cierre crudo)",I2,log_vol_ratio,0.9682283373466193,0.9250107798525266,1.0134650683643471,0.165788957015465,-17584.3767129403,0.7084952515878573
"anterior (panel v1, cierre crudo)",I2,ret_encendido_pico,0.9987208742927975,0.994521397746353,1.0029380835932122,0.551608479637807,-17584.3767129403,0.7084952515878573
"anterior (panel v1, cierre crudo)",I2,desacoplado,0.6978508343774279,0.6399679472833482,0.7609690283842498,3.8499158585517076e-16,-17584.3767129403,0.7084952515878573
"anterior (panel v1, cierre crudo)",I3,b_duro_lag,0.8422434859696347,0.7736821260170245,0.9168805453865078,7.398443610406875e-05,-12919.75450615749,0.70875892655928
"anterior (panel v1, cierre crudo)",I3,d_duro_lag,1.7322400292484703,1.332746626802439,2.2514823587511104,4.0024903886583286e-05,-12919.75450615749,0.70875892655928
"anterior (panel v1, cierre crudo)",I3,sin_direccion_lag,1.763577596824437,1.4861152962273054,2.0928429630707077,8.249537978611471e-11,-12919.75450615749,0.70875892655928
"anterior (panel v1, cierre crudo)",I3,log1p_n_lag,1.5567393342981488,1.4947805610918656,1.621266303584279,3.230210099170165e-101,-12919.75450615749,0.70875892655928
"anterior (panel v1, cierre crudo)",I3,log_z_inicio,1.3610383908022288,1.2635410581073356,1.4660588109517214,4.3631866032020047e-16,-12919.75450615749,0.70875892655928
"anterior (panel v1, cierre crudo)",I3,log_base_previa,0.7308759118051943,0.6957196517210912,0.7678086958383386,1.1630363110034148e-35,-12919.75450615749,0.70875892655928
"anterior (panel v1, cierre crudo)",I3,log_amplitud,0.7487011485611897,0.7085119849588594,0.7911699756065439,8.565761479128859e-25,-12919.75450615749,0.70875892655928
"anterior (panel v1, cierre crudo)",I3,log_vol_ratio,0.976404285938503,0.9323951392401582,1.0224906688981767,0.31021679151899034,-12919.75450615749,0.70875892655928
"anterior (panel v1, cierre crudo)",I3,ret_encendido_pico,0.9988275025549794,0.9949225158970973,1.0027478159549492,0.5572062276572433,-12919.75450615749,0.70875892655928
"anterior (panel v1, cierre crudo)",I3,desacoplado,0.7096671626008483,0.6500947059081014,0.7746986355940769,1.7668818525673702e-14,-12919.75450615749,0.70875892655928
"corregida, mismos eventos",I1,b_duro_lag,0.8654956867418494,0.7965220521338116,0.9404419899763221,0.0006516329417678481,-17674.06830161245,0.6989424642507724
"corregida, mismos eventos",I1,d_duro_lag,1.7697782976438783,1.3682464969953898,2.2891454351896776,1.3736559266282608e-05,-17674.06830161245,0.6989424642507724
"corregida, mismos eventos",I1,sin_direccion_lag,1.5507094576241365,1.3165523335959433,1.8265129008559098,1.4981431833631476e-07,-17674.06830161245,0.6989424642507724
"corregida, mismos eventos",I1,log1p_n_lag,1.3946634955361616,1.3493179558293413,1.4415329295648647,1.3158108660062457e-86,-17674.06830161245,0.6989424642507724
"corregida, mismos eventos",I1,log_z_inicio,1.1509393700359858,1.0778639694369154,1.2289690267602555,2.6654563978624743e-05,-17674.06830161245,0.6989424642507724
"corregida, mismos eventos",I1,log_base_previa,0.8616583585664831,0.8301246655573593,0.8943899123741726,4.977516813512382e-15,-17674.06830161245,0.6989424642507724
"corregida, mismos eventos",I2,b_duro_lag,0.8610567620446377,0.7915090029404288,0.936715494970304,0.00049880248758425,-17564.77099818053,0.7120005599322048
"corregida, mismos eventos",I2,d_duro_lag,1.646640953733353,1.2664657619052093,2.1409393858646038,0.0001962973171825243,-17564.77099818053,0.7120005599322048
"corregida, mismos eventos",I2,sin_direccion_lag,1.9264881644505027,1.626342023594746,2.2820271467649587,3.2486288611972114e-14,-17564.77099818053,0.7120005599322048
"corregida, mismos eventos",I2,log1p_n_lag,1.5569404061282925,1.4954418963797922,1.6209679788316573,7.969392918163981e-103,-17564.77099818053,0.7120005599322048
"corregida, mismos eventos",I2,log_z_inicio,1.3310640240988658,1.2358765544673558,1.433582852466892,4.2143848324040904e-14,-17564.77099818053,0.7120005599322048
"corregida, mismos eventos",I2,log_base_previa,0.7373655465670546,0.7023011363051995,0.7741806486667159,1.5543191725258013e-34,-17564.77099818053,0.7120005599322048
"corregida, mismos eventos",I2,log_amplitud,0.7655649021829607,0.7243780881500351,0.8090935231782077,2.851547422030314e-21,-17564.77099818053,0.7120005599322048
"corregida, mismos eventos",I2,log_vol_ratio,1.0223207757561776,0.9734144087126915,1.073684300528154,0.37743968728645994,-17564.77099818053,0.7120005599322048
"corregida, mismos eventos",I2,ret_encendido_pico,0.8674065375495066,0.8246778657465715,0.9123490912448459,3.406220393802657e-08,-17564.77099818053,0.7120005599322048
"corregida, mismos eventos",I2,desacoplado,0.6635113926503706,0.6076483781728328,0.7245100686364627,6.15675351485796e-20,-17564.77099818053,0.7120005599322048
"corregida, mismos eventos",I3,b_duro_lag,0.8492199659377866,0.7803338575403392,0.9241871842144109,0.00015273705765682258,-12899.251626523532,0.7122289374532196
"corregida, mismos eventos",I3,d_duro_lag,1.6580375891248211,1.2750498935266807,2.156063586929215,0.00016117419045749264,-12899.251626523532,0.7122289374532196
"corregida, mismos eventos",I3,sin_direccion_lag,1.823197966492424,1.5356114220691475,2.164643201561463,7.019991527315005e-12,-12899.251626523532,0.7122289374532196
"corregida, mismos eventos",I3,log1p_n_lag,1.5577728024416782,1.4957667594236486,1.6223492658454604,1.7037247925676774e-101,-12899.251626523532,0.7122289374532196
"corregida, mismos eventos",I3,log_z_inicio,1.3255548161046584,1.2303649470365572,1.4281092571195033,1.2397431506052922e-13,-12899.251626523532,0.7122289374532196
"corregida, mismos eventos",I3,log_base_previa,0.7371798639525485,0.7015028818490264,0.7746713033946636,1.999390521872815e-33,-12899.251626523532,0.7122289374532196
"corregida, mismos eventos",I3,log_amplitud,0.7708654781231287,0.7288834308719123,0.8152655969297582,8.370524303586568e-20,-12899.251626523532,0.7122289374532196
"corregida, mismos eventos",I3,log_vol_ratio,1.032228408418014,0.9823458181602766,1.0846439893647954,0.20942356704243512,-12899.251626523532,0.7122289374532196
"corregida, mismos eventos",I3,ret_encendido_pico,0.8637099859373518,0.8204260898698265,0.9092774462185427,2.3297897088073528e-08,-12899.251626523532,0.7122289374532196
"corregida, mismos eventos",I3,desacoplado,0.6730419316438989,0.61575306767521,0.7356608769505734,2.7009442486201078e-18,-12899.251626523532,0.7122289374532196
"corregida, completa",I1,b_duro_lag,0.8672446418271286,0.7981999867873946,0.9422616903377554,0.000765471799937081,-17769.45948849851,0.6984690390935664
"corregida, completa",I1,d_duro_lag,1.764517215955723,1.3645361831339389,2.2817430888884838,1.4927301670250125e-05,-17769.45948849851,0.6984690390935664
"corregida, completa",I1,sin_direccion_lag,1.5686613138904455,1.3327678102810696,1.8463068350799667,6.136032870345063e-08,-17769.45948849851,0.6984690390935664
"corregida, completa",I1,log1p_n_lag,1.394787771886176,1.3494736130517326,1.4416235410515024,8.690610505088079e-87,-17769.45948849851,0.6984690390935664
"corregida, completa",I1,log_z_inicio,1.1519840198861806,1.0789004316680564,1.230018214026835,2.327618435189036e-05,-17769.45948849851,0.6984690390935664
"corregida, completa",I1,log_base_previa,0.8622400261671808,0.8306984957359872,0.894979185036428,6.421081002433673e-15,-17769.45948849851,0.6984690390935664
"corregida, completa",I2,b_duro_lag,0.8628483516533377,0.7932114364904511,0.9385987691313936,0.000590623634811148,-17661.197024451838,0.7111579915304348
"corregida, completa",I2,d_duro_lag,1.6425099447088294,1.2635773145078864,2.1350802103614086,0.0002087304650614636,-17661.197024451838,0.7111579915304348
"corregida, completa",I2,sin_direccion_lag,1.9468563546402844,1.6446846307969853,2.3045449532574325,9.815265940183681e-15,-17661.197024451838,0.7111579915304348
"corregida, completa",I2,log1p_n_lag,1.5550808970726355,1.4936990738018303,1.6189851348606155,1.999987355574883e-102,-17661.197024451838,0.7111579915304348
"corregida, completa",I2,log_z_inicio,1.3296068364255098,1.2346397371670004,1.4318786980937162,4.8900118329945797e-14,-17661.197024451838,0.7111579915304348
"corregida, completa",I2,log_base_previa,0.7392354582898161,0.704119758733907,0.7761024399820454,4.615538061395613e-34,-17661.197024451838,0.7111579915304348
"corregida, completa",I2,log_amplitud,0.767769981928969,0.7265568916324546,0.8113208365923897,6.133767426235008e-21,-17661.197024451838,0.7111579915304348
"corregida, completa",I2,log_vol_ratio,1.02320405417741,0.9743448478156044,1.074513339740288,0.3581617730788619,-17661.197024451838,0.7111579915304348
"corregida, completa",I2,ret_encendido_pico,0.8679825877915603,0.8254413966417118,0.9127162458467651,3.351771387471813e-08,-17661.197024451838,0.7111579915304348
"corregida, completa",I2,desacoplado,0.6631801954410182,0.6073870755366779,0.7240983375166151,5.1958301829553694e-20,-17661.197024451838,0.7111579915304348
"corregida, completa",I3,b_duro_lag,0.8504922448401488,0.7814988855955389,0.9255765706972426,0.000175665809464981,-12969.933945901888,0.7113789081160389
"corregida, completa",I3,d_duro_lag,1.651881721481904,1.2704539980028253,2.1478252861225995,0.0001789750080723361,-12969.933945901888,0.7113789081160389
"corregida, completa",I3,sin_direccion_lag,1.8425571502273448,1.5529661565172506,2.1861499283846126,2.4624075037836756e-12,-12969.933945901888,0.7113789081160389
"corregida, completa",I3,log1p_n_lag,1.555791542393748,1.493914876892146,1.6202310860036142,4.3375780692182884e-101,-12969.933945901888,0.7113789081160389
"corregida, completa",I3,log_z_inicio,1.3239661544332633,1.2290241324610216,1.4262424404757539,1.4494199778551974e-13,-12969.933945901888,0.7113789081160389
"corregida, completa",I3,log_base_previa,0.7391173050286103,0.7033870856782793,0.7766625258209875,5.9193115755137e-33,-12969.933945901888,0.7113789081160389
"corregida, completa",I3,log_amplitud,0.7731852577870058,0.7311704664964203,0.8176143187562478,1.8178698243205814e-19,-12969.933945901888,0.7113789081160389
"corregida, completa",I3,log_vol_ratio,1.033267866486907,0.9834189314148085,1.085643615156388,0.1945579012785463,-12969.933945901888,0.7113789081160389
"corregida, completa",I3,ret_encendido_pico,0.8639805571065734,0.8208836113027755,0.9093401217664937,2.1409697215722702e-08,-12969.933945901888,0.7113789081160389
"corregida, completa",I3,desacoplado,0.6720658445722358,0.6149102394587138,0.7345340351433824,1.8951346518286778e-18,-12969.933945901888,0.7113789081160389
