escenario,replica,HR_D,lo_D,hi_D,HR_B,HR_silencio
volumen: compra degradada en alto,14,1.2204931987372951,0.9105024689905358,1.6360237329345213,0.7638387112602995,1.9389721745734387
volumen: compra degradada en alto,15,1.3579285250312303,1.0106428507657594,1.824551450293568,0.7540990833309331,1.9385255644002655
volumen: compra degradada en alto,16,1.0867629322740653,0.8184170575768961,1.443095131059089,0.71046457005443,1.8623421204082897
volumen: compra degradada en alto,17,1.1685498094429403,0.8770161198974521,1.5569937954034399,0.7611716054933573,1.8314170488733956
volumen: compra degradada en alto,18,1.149693636266833,0.8556609334435177,1.5447654621241453,0.7692982363381164,1.9543708118400223
volumen: compra degradada en alto,19,1.2428025156339093,0.9280542293472288,1.6642972404235246,0.7377104232015131,1.8032045599273243
volumen: compra degradada en alto,20,0.9225067181540212,0.7057548012401972,1.205827638074638,0.6746726255635391,1.8499240151854859
volumen: venta degradada en bajo,1,0.7871489313821675,0.5919828488855337,1.0466577559511276,0.6638796344685091,1.9336356679367455
volumen: venta degradada en bajo,2,1.1620353078773227,0.8531907480484924,1.5826778007639581,0.7850998589672844,2.033615960636932
volumen: venta degradada en bajo,3,0.8555405311688897,0.6428215411395948,1.1386513264243523,0.6739983198870015,1.9478404919193248
volumen: venta degradada en bajo,4,0.8906206725269414,0.6609846885532403,1.200035637842844,0.6713318191131693,1.988621345191544
volumen: venta degradada en bajo,5,0.8635156903390564,0.6465786255997354,1.1532384739289814,0.6745894565488748,1.8382592059584286
volumen: venta degradada en bajo,6,1.0546834660447482,0.7807453102107456,1.4247376180177198,0.7334630197173001,2.033762882344952
volumen: venta degradada en bajo,7,0.9053269236405193,0.6781797484984431,1.208553986584116,0.6710698314298398,1.8430672204450764
volumen: venta degradada en bajo,8,0.9225640766936049,0.6933189295427945,1.2276088814808406,0.7066267458859119,1.9925265897771423
volumen: venta degradada en bajo,9,0.871420902977957,0.6498211319228313,1.168589867029896,0.7008467636996353,2.001302563121365
volumen: venta degradada en bajo,10,1.1403644081488928,0.8420595648578861,1.5443455993427824,0.761101900351521,2.100081408288599
volumen: venta degradada en bajo,11,1.0159713420123424,0.7470317439329981,1.3817321367844562,0.7605195205776618,2.1027741114241145
volumen: venta degradada en bajo,12,0.9619647539363458,0.7137498726298181,1.296499268583064,0.7227505205144928,2.01414807296274
