replica,C_P0,C_P1,C_P2,dC_P2_P0,dC_P2_P1
24,0.5794577342023107,0.5809959152747077,0.5918479251646424,0.012390190962331626,0.010852009889934622
25,0.5815577093983116,0.5827179325414145,0.6013153516750857,0.019757642276774012,0.01859741913367119
26,0.5893205863934691,0.5920872258145503,0.6010896807701799,0.01176909437671081,0.009002454955629569
27,0.5922674658491779,0.5944263169599601,0.6059578283917167,0.013690362542538859,0.01153151143175668
28,0.5848544773053724,0.5838543894789627,0.5934147191396412,0.008560241834268734,0.009560329660678435
29,0.5860596551595955,0.5884920403910613,0.6116628242741946,0.025603169114599145,0.023170783883133317
30,0.5849579731138648,0.5880623486936285,0.6091024067782416,0.024144433664376797,0.021040058084613067
31,0.5867882651287342,0.5902891996100297,0.6028532545067259,0.016064989377991723,0.012564054896696208
32,0.5859156215307327,0.5865818680817105,0.6068976026903109,0.020981981159578167,0.020315734608600367
33,0.5868913074816203,0.5882694248234107,0.6030546345682571,0.016163327086636814,0.014785209744846428
34,0.5863678785155115,0.586329197251239,0.6048307976006363,0.018462919085124763,0.018501600349397296
35,0.5897513689247941,0.5917783935847086,0.6054778011722131,0.015726432247418987,0.01369940758750443
36,0.5820899250921627,0.5826759120805393,0.6015816652451188,0.019491740152956072,0.018905753164579542
37,0.5977070729380041,0.597406093781352,0.6173190768817693,0.019612003943765277,0.019912983100417336
38,0.5895775443716094,0.5903192467107968,0.5975860700146981,0.008008525643088737,0.007266823303901271
39,0.5817928171810143,0.5828099621007038,0.6020317632196355,0.020238946038621197,0.01922180111893168
40,0.5968673505771726,0.6023623568735339,0.6122192431678828,0.015351892590710237,0.009856886294348888
41,0.5828864015546195,0.5824197600311947,0.5966136172672989,0.01372721571267943,0.014193857236104224
42,0.5899346788231847,0.5901670084969235,0.6028300098240292,0.012895331000844501,0.012663001327105738
43,0.586970145173388,0.5880019907890955,0.6054844837617502,0.018514338588362267,0.017482492972654695
44,0.5966122606457777,0.6019077674499457,0.6151324018027619,0.018520141156984193,0.013224634352816178
45,0.5994541350645171,0.6004817783875881,0.6099401905939581,0.01048605552944104,0.009458412206370004
46,0.5896266808781696,0.5919925305240304,0.6076493227272024,0.018022641849032794,0.015656792203171954
47,0.5803849768836965,0.5803432675788539,0.6007499045360307,0.02036492765233422,0.020406636957176816
48,0.5900208677963724,0.595035422645943,0.6078688251489096,0.01784795735253719,0.012833402502966607
49,0.5997321136789722,0.5990326566181824,0.6154741974876878,0.015742083808715668,0.016441540869505444
50,0.5949466571129985,0.5938725774795875,0.6094385898332734,0.014491932720274825,0.01556601235368582
51,0.5942461926711522,0.5979634433268209,0.6141768001642223,0.019930607493070074,0.016213356837401327
52,0.5908135929511886,0.5905349865363277,0.6036910164986156,0.012877423547426936,0.013156029962287819
53,0.5875736808973332,0.5898098603639693,0.6053214776238983,0.017747796726565124,0.015511617259929
54,0.5789564843973661,0.5784597766962496,0.6075815917549384,0.028625107357572288,0.029121815058688827
55,0.5995125471028533,0.5996361638797334,0.6142833629874702,0.014770815884616928,0.014647199107736819
56,0.5899775276691923,0.5929656780329187,0.6002344437972119,0.0102569161280196,0.00726876576429325
57,0.599242061704763,0.6049044308073415,0.6233673009796195,0.024125239274856436,0.01846287017227799
58,0.5797288448268578,0.5809610482882933,0.6066894565630677,0.026960611736209894,0.025728408274774406
59,0.5932646891059954,0.5942375938835549,0.6095139550370476,0.016249265931052248,0.015276361153492735
60,0.5891120840210137,0.5927136703567278,0.6088389225454222,0.019726838524408485,0.016125252188694317
61,0.5855194337067691,0.5875866293302187,0.6027051811095827,0.017185747402813645,0.015118551779364053
62,0.5849678360984548,0.5861124040625922,0.5959553948869601,0.010987558788505325,0.009842990824367903
63,0.5867542058297547,0.5858309192945137,0.5998647343130741,0.013110528483319395,0.01403381501856038
64,0.6018657993956604,0.6049506951432685,0.6153950326372525,0.013529233241592054,0.01044433749398399
65,0.5869587015850132,0.5894823533701515,0.6060575356144134,0.01909883402940027,0.01657518224426191
66,0.5808931946671759,0.5814183885254972,0.5933026548970817,0.012409460229905744,0.011884266371584462
67,0.5894858242590195,0.5963532932860691,0.6123389441956231,0.02285311993660355,0.01598565090955395
68,0.5820822768332163,0.5851789069751647,0.6074099805302121,0.025327703696995774,0.022231073555047387
69,0.579565610924481,0.5783134599079133,0.6004922742282278,0.020926663303746817,0.022178814320314544
70,0.5940736178386504,0.5950778770669785,0.6135644591058405,0.01949084126719003,0.018486582038862
71,0.5770308876681005,0.5804644447170059,0.5978395201196975,0.02080863245159703,0.017375075402691675
72,0.5906244032980301,0.5926013262755604,0.6074533729005064,0.016828969602476263,0.014852046624945991
73,0.582140963754569,0.5828538742710455,0.5978235999888389,0.01568263623426991,0.014969725717793425
74,0.5828285159533585,0.5861372665682794,0.6008551369976617,0.018026621044303193,0.01471787042938233
75,0.5903704185050813,0.5919489666058952,0.598306967004548,0.007936548499466678,0.006358000398652752
76,0.5881763117256746,0.5910462074363441,0.6029326526439003,0.014756340918225641,0.011886445207556218
77,0.587478831688523,0.5909554197691408,0.6064454953187638,0.0189666636302408,0.015490075549623006
78,0.5928703186730085,0.5929996536931156,0.6057430402917459,0.012872721618737315,0.01274338659863028
79,0.5831389163324154,0.5845482114001018,0.6000278207990046,0.016888904466589194,0.015479609398902805
80,0.5868759133950382,0.5886154086853868,0.6050431851396183,0.018167271744580105,0.016427776454231546
