especificacion,covariable,nombre,coef,HR,se_conv,lo_conv,hi_conv,p_conv,replicas_ticker,se_boot_ticker,HR_boot_mediana_ticker,lo_boot_ticker,hi_boot_ticker,razon_se_ticker,excluye_1_ticker,replicas_calendario,se_boot_calendario,HR_boot_mediana_calendario,lo_boot_calendario,hi_boot_calendario,razon_se_calendario,excluye_1_calendario
I2,desacoplado,Desacoplado,-0.41070853772843824,0.6631801954410182,0.04483779697023964,0.6073870755366779,0.7240983375166151,5.1958301829553694e-20,200,0.05099355243326712,0.6601425348589601,0.5919343058370484,0.7260400721280451,1.1372894272016367,1,200,0.06145767384514386,0.6581327346963246,0.5813268504560122,0.731454004926742,1.3706666695943024,1
I3 (estratos de anio),b_duro_lag,B: optimismo neto (t-1),-0.16193998554152747,0.8504922448401488,0.043164859267219975,0.7814988855955389,0.9255765706972426,0.000175665809464981,200,0.05767307570053842,0.8423011969861812,0.7542932156797523,0.9428111578558229,1.3361117510774836,1,200,0.08605891509736499,0.8270708029546311,0.6942022360481055,0.9862926831452338,1.993726298621791,1
I3 (estratos de anio),d_duro_lag,D: desacuerdo (t-1),0.5019150753696692,1.651881721481904,0.13395182876214937,1.2704539980028253,2.1478252861225995,0.0001789750080723361,200,0.16672097051976317,1.6092999436409072,1.1815564266219702,2.1842773720311417,1.2446337766377202,1,200,0.20580875503081664,1.5921095174672917,1.0736529696228396,2.44182225646038,1.5364385610312161,1
I3 (estratos de anio),sin_direccion_lag,Sin direccion (t-1),0.6111543623627804,1.8425571502273448,0.08724017997714174,1.5529661565172506,2.1861499283846126,2.4624075037836756e-12,200,0.11648189989170517,1.8372868118837082,1.4547978877650931,2.311838632133251,1.335186377678556,1,200,0.10081291536880571,1.8507220705700465,1.5818746147798668,2.2996460381649744,1.155578947627346,1
I3 (estratos de anio),log1p_n_lag,log(1+mensajes) (t-1),0.4419844465974266,1.555791542393748,0.020706675467154413,1.493914876892146,1.6202310860036142,4.3375780692182884e-101,200,0.0346557715750271,1.5675037171662243,1.4620284870492453,1.6664770356033258,1.6736521335836447,1,200,0.041875018139988195,1.5822331130578624,1.4657905903193422,1.7135350124755848,2.02229557354157,1
I3 (estratos de anio),log_z_inicio,log z del encendido,0.2806318940712037,1.3239661544332633,0.03796571182731861,1.2290241324610216,1.4262424404757539,1.4494199778551974e-13,200,0.04456198824946535,1.3275915714494533,1.2147412716259105,1.4495025295936508,1.173742993471291,1,200,0.058246739897077494,1.3308841517276546,1.208314729369498,1.4955817080519234,1.5341932784509382,1
I3 (estratos de anio),log_base_previa,log base previa,-0.3022986358155329,0.7391173050286103,0.025280711044028188,0.7033870856782793,0.7766625258209875,5.9193115755137e-33,200,0.0492363276996361,0.7431445021427683,0.6891550460190494,0.8286586875760513,1.9475847658670469,1,200,0.050225666770372955,0.7248305521057823,0.6593830629223784,0.7952635361172457,1.9867189132022955,1
I3 (estratos de anio),log_amplitud,log amplitud,-0.2572365983235137,0.7731852577870058,0.0285066726909551,0.7311704664964203,0.8176143187562478,1.8178698243205814e-19,200,0.042473947468667055,0.7745087885487115,0.716897615842419,0.8462410974592949,1.4899651014740714,1,200,0.06653124446907334,0.7553068707137504,0.6724094309144967,0.8447880558983178,2.333883199570432,1
I3 (estratos de anio),log_vol_ratio,log razon de volumen,0.03272646580330666,1.033267866486907,0.025228289602174235,0.9834189314148085,1.085643615156388,0.1945579012785463,200,0.027946653724830493,1.032064515252412,0.9724207808068672,1.0950735223623485,1.1077506309592222,0,200,0.03909396898168558,1.0540017940616822,0.9805235952483231,1.129549924527772,1.5496083800431864,0
I3 (estratos de anio),ret_encendido_pico,Retorno encendido-pico,-0.14620501378015902,0.8639805571065734,0.026107076841588576,0.8208836113027755,0.9093401217664937,2.1409697215722702e-08,200,0.03651924565420759,0.8630764995811238,0.7908824077913533,0.9125695842247502,1.3988255320883887,1,200,0.03920256425625931,0.8581590932076976,0.7762206142364099,0.9074113236614375,1.501606805470064,1
I3 (estratos de anio),desacoplado,Desacoplado,-0.39739896026460897,0.6720658445722358,0.04534777902236003,0.6149102394587138,0.7345340351433824,1.8951346518286778e-18,200,0.05229142034072631,0.666183359726459,0.5978759865436829,0.7347845187618122,1.1531197661288444,1,200,0.06299870558173964,0.6655436340572021,0.5850658416124929,0.7384899942401091,1.3892346425759092,1
I2-tv,b_duro_lag,B: optimismo neto (t-1),-0.09191061204695883,0.9121866844014292,0.04388593854613629,0.8370048022741055,0.9941215927776463,0.03623267414313868,200,0.05650788450574551,0.9047380397577729,0.8098260165954771,1.01108229376649,1.2876079759884833,0,200,0.09797794734559578,0.8990728578380709,0.721326951360411,1.0703988419544357,2.2325590061744673,0
I2-tv,d_duro_lag,D: desacuerdo (t-1),1.6929295930658903,5.435380857341576,0.28431941148663903,3.1132705158475438,9.489495022668303,2.6115068898146596e-09,200,0.34271372160471264,5.452706656808404,2.907433981671055,10.017455398326893,1.2053827764089113,1,200,0.3150763733811423,5.172643352829566,2.7322755110114594,10.598542247888988,1.1081774956331063,1
I2-tv,sin_direccion_lag,Sin direccion (t-1),0.8229175575815088,2.27713382436071,0.3099768375686716,1.2403258407614204,4.180625996523961,0.007936223493251009,200,0.3823198168038915,2.3156998463070644,1.162455228749542,5.167266854564899,1.2333818868617665,1,200,0.2960626911972905,2.1997978311136595,1.3381274374765153,4.3413120611733245,0.9551123029690933,1
