escenario,filas,eventos,HR_d_duro_lag,lo_d_duro_lag,hi_d_duro_lag,p_d_duro_lag,HR_b_duro_lag,lo_b_duro_lag,hi_b_duro_lag,p_b_duro_lag,HR_sin_direccion_lag,lo_sin_direccion_lag,hi_sin_direccion_lag,p_sin_direccion_lag
E4 replica 07 (v2b como verdad + error 3x3),39979,2636,0.9061758990198228,0.6852867476365135,1.19826446782528,0.48948327861585283,0.6994760842114394,0.6227337573159359,0.7856757187735774,1.6592695559749936e-09,1.952436930361444,1.6384534754083728,2.3265903025345906,7.453391088690352e-14
E4 replica 08 (v2b como verdad + error 3x3),39979,2636,1.0511658212158048,0.7939272004530568,1.391751766486593,0.7274895013621243,0.7032945214261144,0.6253997745464458,0.7908912091097239,4.178220694705112e-09,1.918839011384838,1.6086366879204266,2.2888593672274085,4.358221583006134e-13
E4 replica 09 (v2b como verdad + error 3x3),39979,2636,1.1626714346047315,0.8672782332588523,1.5586749592069582,0.31354338360848166,0.7326265562028497,0.6472800554538307,0.8292263392502012,8.510740080067475e-07,2.0635896462884786,1.7269217181896754,2.465891871886974,1.5595171160017095e-15
E4 replica 10 (v2b como verdad + error 3x3),39979,2636,0.9629573452665278,0.7266346753238216,1.2761390011968772,0.7927580952190815,0.7165269451100318,0.6374703509226817,0.8053878307055345,2.2912474402108456e-08,2.001091184119679,1.6786691185015568,2.3854408727885255,1.0048333912144293e-14
E4 replica 11 (v2b como verdad + error 3x3),39979,2636,0.9851137329117194,0.7477512069181996,1.2978234709521839,0.9150842166020411,0.688771499447881,0.6136204548552051,0.7731264085119639,2.529773396112162e-10,1.8790477351264347,1.5765978409510704,2.239518727714256,1.8615675470921757e-12
E4 replica 12 (v2b como verdad + error 3x3),39979,2636,1.28429597841414,0.9532389154585788,1.7303281826017782,0.09994989896065627,0.763893978946667,0.6738155016613284,0.8660145242017087,2.587260267859414e-05,2.1099636303407965,1.763662156097942,2.524262657657027,3.2681964754575336e-16
E4 replica 13 (v2b como verdad + error 3x3),39979,2636,1.1266383265517297,0.8386491708492124,1.5135219385836636,0.4285513992393605,0.7322581818229941,0.647110294696578,0.8286099745919442,7.778918474807693e-07,2.016816405819182,1.688700447295619,2.4086855790767436,9.666939562786241e-15
E4 replica 14 (v2b como verdad + error 3x3),39979,2636,1.0003450372140354,0.7548229050205458,1.3257284414965014,0.9980843342172698,0.7029110895055255,0.6248071191491071,0.7907784412295311,4.465468826196917e-09,2.024209772372215,1.6970032334473566,2.414506420381716,4.5437372317791405e-15
E4 replica 15 (v2b como verdad + error 3x3),39979,2636,1.0676887046567878,0.8006678174334761,1.42376044750469,0.6555745274972995,0.6956897601869686,0.616716341615543,0.7847760952160961,3.5882361920022624e-09,1.9400060425909278,1.62642211403495,2.3140508314611106,1.7461524194297707e-13
E4 replica 16 (v2b como verdad + error 3x3),39979,2636,1.0298043882926222,0.7733749138243566,1.371258698969895,0.8406889465589568,0.7101737132843302,0.6294444422168752,0.8012569008692293,2.7166669989578466e-08,1.9112746310498694,1.6010806163622664,2.2815657612510125,7.543218709664158e-13
E4 replica 17 (v2b como verdad + error 3x3),39979,2636,1.0758586685506617,0.8056591865345823,1.4366768157566574,0.6202338403795684,0.7338055368302153,0.6491052219917677,0.8295582097312255,7.572927893139709e-07,1.870127566916887,1.5648687504507657,2.234933195218477,5.77620693864106e-12
E4 replica 18 (v2b como verdad + error 3x3),39979,2636,1.1620673081335242,0.8685602729608014,1.5547573043254297,0.31190703994848296,0.7637528482702447,0.6763176017557573,0.8624918407070657,1.394817597583622e-05,1.9394504580400822,1.6230226234527805,2.317569715195852,3.1209288526466585e-13
E4 replica 19 (v2b como verdad + error 3x3),39979,2636,1.017415061293948,0.7680337616064034,1.3477707083900905,0.9042107955552287,0.7155684593274892,0.6364840042056472,0.8044793217126596,2.133394967802733e-08,1.975459493718329,1.656807863540679,2.355396963762697,3.313021784593525e-14
E4 replica 20 (v2b como verdad + error 3x3),39979,2636,1.14633417960496,0.8544010514676667,1.5380154894159863,0.36246367255580747,0.7369436799771691,0.6513537905728686,0.8337803438291895,1.26042957449531e-06,1.981313471926019,1.6587185872906935,2.366648028251441,4.66401806632594e-14
