covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p),modelo
desacoplado,-0.3604172563515209,0.6973852769179487,0.044201272477714444,-0.44705015847868274,-0.27378435422435904,0.6395118305298032,0.7604960553411667,0.0,-8.154001822758323,3.520755599230104e-16,51.33496443527864,celda_R3 reproducida: + tasa + D x tasa
tasa_r3_z,0.0732759042005072,1.0760273764362045,0.03649688655068592,0.001743321013318519,0.14480848738769586,1.001744841480822,1.1558181953087177,0.0,2.007730278547008,0.04467196126635858,4.484486594029113,celda_R3 reproducida: + tasa + D x tasa
d_x_tasa_r3,-0.22524612142640402,0.7983197109919872,0.08688725742958846,-0.39554201670385764,-0.0549502261489504,0.6733149923542335,0.9465322593367065,0.0,-2.592395341847895,0.009531017566412975,6.713154034886951,celda_R3 reproducida: + tasa + D x tasa
b_duro_lag,-0.15896681505413032,0.8530246660768133,0.04311322005422754,-0.2434671736179663,-0.07446645649029435,0.7839052083817692,0.9282386099175983,0.0,-3.6871942029424583,0.00022674031657423502,12.106671440829345,I2 referencia
d_duro_lag,0.5380868343964124,1.7127269953452318,0.13370358550104647,0.2760326222104895,0.8001410465823352,1.317890855838957,2.225854855572929,0.0,4.024475726510722,5.7102383196972515e-05,14.096089515981712,I2 referencia
sin_direccion_lag,0.6236186335917806,1.8656670068722603,0.08614791525433854,0.4547718223500683,0.7924654448334929,1.5758137765242102,2.2088354806804307,0.0,7.238928902117271,4.522420122743128e-13,41.007970212068976,I2 referencia
log1p_n_lag,0.44269660989572107,1.556899914654215,0.020539923969995114,0.4024390986693397,0.48295412112210245,1.4954678464697528,1.6208555402727802,0.0,21.552981916701146,4.964452658401657e-103,339.8469591071126,I2 referencia
log_z_inicio,0.31124271000909337,1.3651205093923016,0.03777516793743092,0.23720474134177655,0.3852806786764102,1.267700641937116,1.4700268687376261,0.0,8.239346824999473,1.7315333134782418e-16,52.35879937396181,I2 referencia
log_base_previa,-0.3136697926869475,0.7307602907159851,0.024679196279830118,-0.3620401285628094,-0.2652994568110856,0.6962544275916447,0.7669762393245562,0.0,-12.709886867073724,5.210977434193094e-37,120.5297855035487,I2 referencia
log_amplitud,-0.29513833383381666,0.7444286006804602,0.02782652907519196,-0.3496773286359496,-0.24059933903168376,0.7049155090747368,0.7861565455390106,0.0,-10.606365351435073,2.7836802004498545e-26,84.89313698854505,I2 referencia
log_vol_ratio,-0.03228733383355853,0.9682283373466193,0.023297649431120445,-0.07794988764299468,0.013375219975877622,0.9250107798525266,1.0134650683643471,0.0,-1.3858622917739452,0.165788957015465,2.592580180874006,I2 referencia
ret_encendido_pico,-0.0012799444867789937,0.9987208742927975,0.002149896825256315,-0.005493664834758373,0.0029337758612003858,0.994521397746353,1.0029380835932122,0.0,-0.5953515869890157,0.551608479637807,0.858283459940143,I2 referencia
desacoplado,-0.35974990338812124,0.6978508343774279,0.04417799691587192,-0.44633718625235175,-0.27316262052389073,0.6399679472833482,0.7609690283842498,0.0,-8.14319182631101,3.8499158585517076e-16,51.206022602721866,I2 referencia
b_duro_lag,-0.16515907997675705,0.8477588319051933,0.04321806960288985,-0.24986493987976643,-0.08045322007374768,0.7789059751022687,0.9226980663216695,0.0,-3.821528390655223,0.00013262714174559108,12.880336330684287,I2 + tasa global (por sd)
d_duro_lag,0.5487285604322377,1.7310506917584956,0.1336003364538371,0.28687671266028336,0.8105804082041921,1.3322599525648757,2.2492130696179933,0.0,4.107239360297868,4.004162193352808e-05,14.608140061000526,I2 + tasa global (por sd)
sin_direccion_lag,0.6082692530248582,1.8372488326080734,0.08673262216534344,0.4382764372960647,0.7782620687536518,1.550033335224068,2.1776843092421485,0.0,7.013154195491509,2.330044087566427e-12,38.64277988578094,I2 + tasa global (por sd)
log1p_n_lag,0.4433494299895238,1.5579166220299354,0.020529386648956295,0.40311257153287205,0.48358628844617557,1.4964753427052422,1.6218805161263699,0.0,21.59584392707921,1.9652158385816156e-103,341.1839060018046,I2 + tasa global (por sd)
log_z_inicio,0.31080753315344706,1.3645265697852045,0.03779964656023572,0.2367215872670417,0.3848934790398524,1.2670882951472553,1.469457785049929,0.0,8.222498394479931,1.993069719436478e-16,52.155857340320885,I2 + tasa global (por sd)
log_base_previa,-0.31397822546630694,0.7305349350437988,0.024678566495301302,-0.36234732698717437,-0.2656091239454395,0.6960405721782363,0.7667387687607191,0.0,-12.722709219195819,4.422558419929403e-37,120.7664583104637,I2 + tasa global (por sd)
log_amplitud,-0.29667473464080113,0.7432857381499027,0.027832842727767104,-0.3512261039745922,-0.24212336530701006,0.703824598324353,0.7849593348291045,0.0,-10.659160386259328,1.580175065724639e-26,85.71004606533899,I2 + tasa global (por sd)
log_vol_ratio,-0.0314927565525417,0.9689979753142407,0.023317813267002104,-0.07719483075409608,0.014209317649012683,0.9257094793599032,1.0143107498611281,0.0,-1.3505879042743796,0.17682747761374723,2.499585619157372,I2 + tasa global (por sd)
ret_encendido_pico,-0.0012471478637339876,0.9987536295019661,0.0021478333229801717,-0.00545682382157011,0.002962528094102135,0.9945580375972037,1.0029669207171417,0.0,-0.5806539317508769,0.5614737161044806,0.8327096066038916,I2 + tasa global (por sd)
desacoplado,-0.3614462223038594,0.6966680602713735,0.04420744664573348,-0.44809122557797304,-0.2748012190297458,0.6388464022412811,0.7597231267164142,0.0,-8.176138857337582,2.9308421947435575e-16,51.599534227068965,I2 + tasa global (por sd)
tasa_glob_z,0.030983409630777663,1.0314683913031182,0.021623809733001837,-0.01139847865445262,0.07336529791600795,0.9886662378799667,1.0761235708208874,0.0,1.4328376920321948,0.15190422695584205,2.718766079402963,I2 + tasa global (por sd)
b_duro_lag,-0.17853021935380373,0.8364987780429094,0.04299420725311743,-0.26279731711376464,-0.0942631215938428,0.7688977239288383,0.910043278697546,0.0,-4.152424960477876,3.2897064198702676e-05,14.891681633788085,I2 + tasa global + D x tasa
