ticker,fecha_hecho,fecha,dias_desde_hecho,menciones
DJT,2024-03-26,2024-03-26,0,3019
DJT,2024-03-26,2024-03-27,1,1621
DJT,2024-03-26,2024-03-28,2,887
DJT,2024-03-26,2024-03-29,3,293
DJT,2024-03-26,2024-03-30,4,62
DJT,2024-03-26,2024-03-31,5,80
DJT,2024-03-26,2024-04-01,6,833
DJT,2024-03-26,2024-04-02,7,663
SMCI,2024-01-18,2024-01-11,-7,4
SMCI,2024-01-18,2024-01-12,-6,1
SMCI,2024-01-18,2024-01-13,-5,1
SMCI,2024-01-18,2024-01-14,-4,0
SMCI,2024-01-18,2024-01-15,-3,2
SMCI,2024-01-18,2024-01-16,-2,1
SMCI,2024-01-18,2024-01-17,-1,2
SMCI,2024-01-18,2024-01-18,0,18
SMCI,2024-01-18,2024-01-19,1,246
SMCI,2024-01-18,2024-01-20,2,71
SMCI,2024-01-18,2024-01-21,3,25
SMCI,2024-01-18,2024-01-22,4,156
SMCI,2024-01-18,2024-01-23,5,42
SMCI,2024-01-18,2024-01-24,6,63
SMCI,2024-01-18,2024-01-25,7,44
CLOV,2021-06-08,2021-06-01,-7,66
CLOV,2021-06-08,2021-06-02,-6,739
CLOV,2021-06-08,2021-06-03,-5,1161
CLOV,2021-06-08,2021-06-04,-4,530
CLOV,2021-06-08,2021-06-05,-3,152
CLOV,2021-06-08,2021-06-06,-2,362
CLOV,2021-06-08,2021-06-07,-1,2642
CLOV,2021-06-08,2021-06-08,0,8244
CLOV,2021-06-08,2021-06-09,1,7527
CLOV,2021-06-08,2021-06-10,2,3234
CLOV,2021-06-08,2021-06-11,3,2354
CLOV,2021-06-08,2021-06-12,4,603
CLOV,2021-06-08,2021-06-13,5,709
CLOV,2021-06-08,2021-06-14,6,1349
CLOV,2021-06-08,2021-06-15,7,1131
