ticker,fecha_inicio,fecha_fin,duracion_dias,causa
ASTS,2021-04-07,2021-04-26,20,"simbolo con menos de 30 dias de cotizacion al encender (OPI, SPAC o renombre): sin 5 sesiones previas"
ASPC,2021-04-12,2022-04-12,366,"simbolo con menos de 30 dias de cotizacion al encender (OPI, SPAC o renombre): sin 5 sesiones previas"
EDR,2021-04-29,2021-05-07,9,"simbolo con menos de 30 dias de cotizacion al encender (OPI, SPAC o renombre): sin 5 sesiones previas"
TETC,2021-05-07,2021-07-18,73,"simbolo con menos de 30 dias de cotizacion al encender (OPI, SPAC o renombre): sin 5 sesiones previas"
DAWN,2021-05-28,2021-09-01,97,"simbolo con menos de 30 dias de cotizacion al encender (OPI, SPAC o renombre): sin 5 sesiones previas"
SOFI,2021-06-01,2021-06-10,10,"simbolo con menos de 30 dias de cotizacion al encender (OPI, SPAC o renombre): sin 5 sesiones previas"
BARK,2021-06-02,2021-06-14,13,"simbolo con menos de 30 dias de cotizacion al encender (OPI, SPAC o renombre): sin 5 sesiones previas"
HITI,2021-06-02,2021-06-30,29,"simbolo con menos de 30 dias de cotizacion al encender (OPI, SPAC o renombre): sin 5 sesiones previas"
KPLT,2021-06-15,2021-07-06,22,"simbolo con menos de 30 dias de cotizacion al encender (OPI, SPAC o renombre): sin 5 sesiones previas"
PTRA,2021-06-15,2021-08-12,59,"simbolo con menos de 30 dias de cotizacion al encender (OPI, SPAC o renombre): sin 5 sesiones previas"
BODY,2021-06-28,2021-07-09,12,"simbolo con menos de 30 dias de cotizacion al encender (OPI, SPAC o renombre): sin 5 sesiones previas"
MMAT,2021-06-28,2021-07-15,18,"simbolo con menos de 30 dias de cotizacion al encender (OPI, SPAC o renombre): sin 5 sesiones previas"
DIDI,2021-06-30,2021-07-09,10,"simbolo con menos de 30 dias de cotizacion al encender (OPI, SPAC o renombre): sin 5 sesiones previas"
ASTR,2021-07-01,2021-07-09,9,"simbolo con menos de 30 dias de cotizacion al encender (OPI, SPAC o renombre): sin 5 sesiones previas"
AVPT,2021-07-02,2021-07-22,21,"simbolo con menos de 30 dias de cotizacion al encender (OPI, SPAC o renombre): sin 5 sesiones previas"
SLI,2021-07-13,2021-08-20,39,"simbolo con menos de 30 dias de cotizacion al encender (OPI, SPAC o renombre): sin 5 sesiones previas"
FXLV,2021-07-15,2021-11-16,125,"simbolo con menos de 30 dias de cotizacion al encender (OPI, SPAC o renombre): sin 5 sesiones previas"
REE,2021-07-23,2021-08-11,20,"simbolo con menos de 30 dias de cotizacion al encender (OPI, SPAC o renombre): sin 5 sesiones previas"
MVST,2021-07-26,2021-08-13,19,"simbolo con menos de 30 dias de cotizacion al encender (OPI, SPAC o renombre): sin 5 sesiones previas"
HOOD,2021-07-29,2021-08-06,9,"simbolo con menos de 30 dias de cotizacion al encender (OPI, SPAC o renombre): sin 5 sesiones previas"
GXO,2021-08-03,2021-11-05,95,"simbolo con menos de 30 dias de cotizacion al encender (OPI, SPAC o renombre): sin 5 sesiones previas"
NLIT,2021-08-18,2022-04-21,247,"simbolo con menos de 30 dias de cotizacion al encender (OPI, SPAC o renombre): sin 5 sesiones previas"
IRNT,2021-08-27,2021-09-17,22,"simbolo con menos de 30 dias de cotizacion al encender (OPI, SPAC o renombre): sin 5 sesiones previas"
OPAD,2021-09-07,2021-09-17,11,"simbolo con menos de 30 dias de cotizacion al encender (OPI, SPAC o renombre): sin 5 sesiones previas"
TMC,2021-09-10,2021-09-23,14,"simbolo con menos de 30 dias de cotizacion al encender (OPI, SPAC o renombre): sin 5 sesiones previas"
BROS,2021-09-15,2021-09-21,7,"simbolo con menos de 30 dias de cotizacion al encender (OPI, SPAC o renombre): sin 5 sesiones previas"
GREE,2021-09-15,2021-09-17,3,"simbolo con menos de 30 dias de cotizacion al encender (OPI, SPAC o renombre): sin 5 sesiones previas"
LILM,2021-09-16,2021-09-19,4,"simbolo con menos de 30 dias de cotizacion al encender (OPI, SPAC o renombre): sin 5 sesiones previas"
APTM,2021-09-19,2022-08-18,334,"simbolo con menos de 30 dias de cotizacion al encender (OPI, SPAC o renombre): sin 5 sesiones previas"
TOST,2021-09-22,2021-10-13,22,"simbolo con menos de 30 dias de cotizacion al encender (OPI, SPAC o renombre): sin 5 sesiones previas"
BKKT,2021-10-20,2021-10-26,7,"simbolo con menos de 30 dias de cotizacion al encender (OPI, SPAC o renombre): sin 5 sesiones previas"
BTTX,2021-10-29,2021-11-04,7,"simbolo con menos de 30 dias de cotizacion al encender (OPI, SPAC o renombre): sin 5 sesiones previas"
IOBT,2021-11-05,2022-02-24,112,"simbolo con menos de 30 dias de cotizacion al encender (OPI, SPAC o renombre): sin 5 sesiones previas"
RIVN,2021-11-10,2021-11-19,10,"simbolo con menos de 30 dias de cotizacion al encender (OPI, SPAC o renombre): sin 5 sesiones previas"
SLDP,2021-12-09,2021-12-16,8,"simbolo con menos de 30 dias de cotizacion al encender (OPI, SPAC o renombre): sin 5 sesiones previas"
STET,2022-01-26,2022-08-05,192,"simbolo con menos de 30 dias de cotizacion al encender (OPI, SPAC o renombre): sin 5 sesiones previas"
AMTD,2022-02-04,2022-02-09,6,hueco de precios en los 30 dias previos
ARC,2022-02-04,2022-02-06,3,episodio sin dos sesiones bursatiles (fin de semana o feriado)
SKYX,2022-02-10,2022-05-30,110,"simbolo con menos de 30 dias de cotizacion al encender (OPI, SPAC o renombre): sin 5 sesiones previas"
APLD,2022-04-14,2022-10-01,171,"simbolo con menos de 30 dias de cotizacion al encender (OPI, SPAC o renombre): sin 5 sesiones previas"
META,2022-06-09,2022-06-30,22,"simbolo con menos de 30 dias de cotizacion al encender (OPI, SPAC o renombre): sin 5 sesiones previas"
