fecha,A,AA,AAC,AACG,AACI,AACQ,AACT,AADI,AAGR,AAIC,AAL,AAM,AAMC,AAME,AAN,AAOI,AAON,AAP,AAPL,AAQC,GME,AMC,TSLA,RDDT,NVDA,TWTR,NOK,PLTR,MSFT,AMD,BBBY,INTC,NFLX,HOOD,SPCE,SNDL,NIO,RKT,BABA
2023-08-31,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,0,321,82,194,0,320,0,2,33,45,27,0,19,45,86,0,0,5,0,4
2023-09-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,0,320,62,524,0,270,0,0,11,23,55,0,43,42,66,2,2,5,0,6
2023-09-02,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,158,10,323,0,130,0,3,12,44,25,0,22,17,34,1,0,1,1,2
2023-09-03,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,74,0,143,18,230,0,85,0,1,10,31,22,0,34,27,37,2,0,1,0,3
2023-09-04,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,255,24,158,0,104,0,2,4,26,60,0,150,42,23,0,0,0,0,7
2023-09-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,0,383,45,396,0,151,0,5,5,37,44,0,56,45,50,0,2,5,0,1
2023-09-06,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,408,0,835,280,589,0,234,0,4,37,103,38,0,25,41,45,0,0,1,0,5
2023-09-07,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,627,0,835,140,359,0,251,0,6,17,66,28,0,51,25,110,1,1,3,0,9
2023-09-08,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,638,0,742,156,287,0,321,0,1,8,57,26,0,67,18,61,0,0,29,0,7
2023-09-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,0,438,69,74,0,130,0,3,4,35,15,0,30,11,42,0,3,5,0,9
2023-09-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0,350,76,123,0,89,0,2,1,27,4,0,15,28,28,1,7,7,0,5
2023-09-11,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,338,0,707,90,1172,0,254,0,2,13,55,32,0,39,16,65,7,8,5,0,5
2023-09-12,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,5,1383,0,501,39,524,0,169,0,6,9,51,23,0,48,13,83,0,3,5,0,4
2023-09-13,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,622,0,297,30,336,0,150,0,4,10,45,25,0,63,144,113,10,0,4,1,12
